SiteId,X,Y,Name
0,22.18618015,113.5312755,Templo de A-Ma
1,22.18749972,113.5325193,Quartel dos Mouros
2,22.1884061,113.5349956,Largo do Lilau
3,22.1887227,113.5348891,Casa do Mandarim
4,22.19061015,113.5366617,Igreja de S?o Louren?o
5,22.19131257,113.537089,Igreja do Semin?rio de S?o Jos?
6,22.19218864,113.5378323,Largo de Santo Agostinho
7,22.19199551,113.5381535,Teatro Dom Pedro V
8,22.19247942,113.5376891,Biblioteca Sir Robert Ho Tung
9,22.19228218,113.5383978,Igreja de Santo Agostinho
10,22.19336355,113.5396164,Instituto para os Assuntos Municipais
11,22.19354689,113.5397601,Largo do Senado
12,22.19407548,113.5394111,Templo de Sam Kai Vui Kun
13,22.19374817,113.5402032,Santa Casa da Miseric?rdia de Macau
14,22.19358846,113.5413864,Igreja da S? Catedral
15,22.19422634,113.5412314,Casa de Lou Kau
16,22.19473103,113.540409,Igreja de S?o Domingos
17,22.19788781,113.5408688,Ru?nas de S?o Paulo
18,22.19774218,113.540654,Templo de Na Tcha
19,22.19772073,113.5405832,Old Macau City Walls Sections
20,22.19712896,113.5422227,Monte do Forte
21,22.19901644,113.5393853,Igreja de Santo Ant?nio de Lisboa
22,22.20036032,113.5398153,Funda??o Oriente
23,22.1997325,113.5397974,Cemit?rio Protestante
24,22.19650437,113.5496706,Farol e Fortaleza da Guia
